what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263586636704
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1263586662043
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1263586663202
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textEnd",1263586667241
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586675271
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586839415
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263586849153
executed,command,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.junitShortcut.run",1263586858633
opened,view,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.ResultView",1263586860841
activated,view,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.ResultView",1263586860988
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263586861132
activated,view,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.ResultView",1263586863825
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586870077
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586951252
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586952343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586992955
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263586995102
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587441601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587443758
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587698096
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587702813
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587705356
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263587708341
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1263587732644
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263587735747
