what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595508455
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595509984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595594245
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595594942
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595597935
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595599886
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595686613
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595688046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595779684
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595781087
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595809742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595810528
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595920849
opened,editor,com.google.gwt.eclipse.core,1.2.0.v200912062003,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1263595927966
activated,editor,com.google.gwt.eclipse.core,1.2.0.v200912062003,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1263595929848
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595951207
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595952622
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263595955078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595958099
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1263595964661
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595964795
activated,editor,com.google.gwt.eclipse.core,1.2.0.v200912062003,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1263595966687
executed,command,,,"AUTOGEN:::com.google.gwt.eclipse.core.editors.gwtJavaEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1263595979404
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595989034
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263595990089
